id_evento,ot_utc,magnitud,tipo_magnitud,fases,rms,azgap,latitud,longitud,profundidad_km,agencia,autor,region
csn_sc62026nmwoh,2026-07-12 00:00:10,2.0,M,9,0.76,226,-19.4216,-70.7557,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Near Coast of Northern Chile
csn_sc62026nmwre,2026-07-12 00:03:31,3.1,M,11,0.34,231,-24.1830,-67.6377,222.1,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026nmxlg,2026-07-12 00:26:55,,,6,0.89,217,-37.0605,-87.3761,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nmxud,2026-07-12 00:44:35,2.4,M,25,0.35,175,-21.8368,-68.6857,119.7,CSN,tark,Chile-Bolivia Border Region
csn_sc62026nmyny,2026-07-12 01:00:07,3.7,MLv,46,0.80,220,-20.6329,-68.0336,251.3,CSN,Caro,Chile-Bolivia Border Region
csn_sc62026nmyrh,2026-07-12 01:04:15,2.1,M,8,0.57,137,-22.5500,-69.9885,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nmzcg,2026-07-12 01:21:35,,,17,1.24,340,-43.0927,-48.4279,10.0,CSN,scautoloc2@prod-pub-seiscomp6,South Atlantic Ocean
csn_sc62026nmzmd,2026-07-12 01:28:32,2.1,M,10,0.73,127,-29.6787,-70.6672,31.1,CSN,scautoloc2@prod-pub-seiscomp6,Central Chile
csn_sc62026nmzrg,2026-07-12 01:34:35,2.4,MLv,14,0.31,257,-21.2714,-68.5488,135.1,CSN,sali,Chile-Bolivia Border Region
csn_sc62026nmzwd,2026-07-12 01:43:35,3.1,M,7,0.82,236,-22.4314,-72.2099,338.9,CSN,scautoloc2@prod-pub-seiscomp6,Off Coast of Northern Chile
csn_sc62026nnael,2026-07-12 01:49:49,2.7,MLv,19,0.30,238,-20.3577,-68.2227,173.9,CSN,sali,Chile-Bolivia Border Region
csn_sc62026nnaii,2026-07-12 01:54:24,3.7,M,25,0.45,220,-28.3027,-68.1892,221.6,CSN,scautoloc2@prod-pub-seiscomp6,"La Rioja Province, Argentina"
csn_sc62026nnbyn,2026-07-12 02:44:13,2.2,MLv,9,0.16,268,-21.2860,-68.4019,138.1,CSN,sali,Chile-Bolivia Border Region
csn_sc62026nncez,2026-07-12 02:51:08,3.0,M,6,1.12,221,-23.9407,-68.0275,195.7,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nncgk,2026-07-12 02:52:47,2.8,MLv,38,0.33,68,-34.9574,-71.7091,51.8,CSN,sali,Near Coast of Central Chile
csn_sc62026nncoz,2026-07-12 03:02:45,2.4,MLv,19,0.33,124,-21.0968,-69.0003,118.2,CSN,sali,Northern Chile
csn_sc62026nndai,2026-07-12 03:16:01,3.8,MLv,16,0.25,129,-24.0692,-67.0898,180.4,CSN,sali,Chile-Argentina Border Region
csn_sc62026nndle,2026-07-12 03:28:41,2.1,M,7,1.20,120,-20.1284,-69.4232,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nndwo,2026-07-12 03:41:55,2.2,M,17,0.79,136,-20.6782,-69.1737,49.3,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
