time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-01T01:03:05Z,-32.77, -71.83,  22.2, 2.5,MLv,28.48 km al O de Quintero,f
2026-06-01T01:41:38Z,-24.16, -66.87, 202.8, 2.6,MLv,56.72 km al O de San Antonio de los Cobres,f
2026-06-01T01:48:52Z,-30.30, -70.74,  81.7, 3.3,MLv,30.0 km al S de Vicuña,f
2026-06-01T02:25:06Z,-24.07, -67.21, 256.1, 3.2,MLv,87.31 km al SE de Socaire,f
2026-06-01T05:11:13Z,-32.91, -70.15, 109.6, 2.5,MLv,42.17 km al E de Los Andes,f
2026-06-01T05:25:05Z,-23.48, -69.07,  90.1, 3.7,MLv,70.49 km al SE de Sierra Gorda,f
2026-06-01T06:14:13Z,-20.64, -69.33,  91.2, 3.2,MLv,16.71 km al S de Pica,f
2026-06-01T07:35:24Z,-30.81, -69.77, 106.4, 2.6,MLv,112.44 km al SE de Paihuano,f
2026-06-01T08:32:21Z,-32.66, -71.91,  29.3, 2.9,MLv,38.4 km al O de Quintero,f
2026-06-01T08:53:09Z,-20.83, -70.12,  26.9, 3.0,MLv,8.81 km al E de Patache,f
2026-06-01T09:50:44Z,-27.94, -70.95,  44.8, 2.8,MLv,25.14 km al NE de Carrizal Bajo,f
2026-06-01T11:12:05Z,-32.76, -71.86,  25.7, 3.9,MLv,30.9 km al O de Quintero,f
2026-06-01T12:22:24Z,-33.02, -71.60,   1.7, 2.5,MLv,2.98 km al NE de Valparaíso,f
2026-06-01T14:31:42Z,-32.70, -71.78,  28.0, 2.7,MLv,25.6 km al O de Quintero,f
2026-06-01T14:39:24Z,-32.76, -71.81,  22.2, 2.7,MLv,27.04 km al O de Quintero,f
2026-06-01T16:05:03Z,-22.11, -68.79, 122.4, 2.7,MLv,42.31 km al N de Calama,f
2026-06-01T16:50:01Z,-21.77, -68.69, 129.4, 3.0,MLv,75.94 km al SO de Ollagüe,f
2026-06-01T17:21:51Z,-21.62, -68.52, 132.1, 2.6,MLv,52.1 km al SO de Ollagüe,f
2026-06-01T18:07:48Z,-21.54, -69.54,  97.5, 3.3,MLv,13.66 km al N de Quillagua,f
2026-06-01T18:17:29Z,-23.04, -67.02, 235.8, 3.1,MLv,108.34 km al NE de Socaire,f
2026-06-01T19:02:19Z,-32.80, -71.76,  27.3, 3.0,MLv,22.08 km al O de Quintero,f
2026-06-01T20:20:13Z,-32.79, -71.75,  29.1, 3.4,MLv,21.49 km al O de Quintero,f
2026-06-01T21:01:26Z,-28.75, -71.42,  26.1, 2.6,MLv,37.38 km al SO de Huasco,f
2026-06-01T22:33:21Z,-32.72, -71.83,  26.1, 3.0,MLv,28.94 km al O de Quintero,f
2026-06-01T23:16:00Z,-20.73, -68.90, 100.2, 2.5,MLv,27.31 km al O de Mina Collahuasi,f
2026-06-02T00:51:51Z,-20.50, -69.07,  96.6, 2.5,MLv,26.65 km al E de Pica,f
2026-06-02T02:17:34Z,-22.42, -68.85, 110.7, 3.5,MLv,10.49 km al NE de Calama,f
2026-06-02T02:20:46Z,-22.85, -67.41, 267.9, 3.1,MLv,81.63 km al E de San Pedro de Atacama,f
2026-06-02T03:22:58Z,-22.12, -68.70, 120.2, 2.5,MLv,45.24 km al NE de Calama,f
2026-06-02T04:27:54Z,-33.66, -71.12,  69.5, 2.8,MLv,9.5 km al E de Melipilla,f
2026-06-02T04:40:06Z,-23.83, -67.20, 230.4, 3.0,MLv,75.51 km al E de Socaire,f
2026-06-02T05:46:36Z,-32.72, -71.71,  30.2, 2.7,MLv,18.3 km al O de Quintero,f
2026-06-02T06:21:52Z,-23.90, -69.14,  92.0, 2.9,MLv,42.39 km al N de Mina La Escondida,f
2026-06-02T08:30:54Z,-35.77, -71.30, 106.2, 2.5,MLv,28.17 km al E de Linares,f
2026-06-02T09:53:50Z,-32.04, -71.91,  47.5, 4.6,Mw,37.16 km al O de Pichidangui,f
2026-06-02T11:30:15Z,-23.79, -67.36, 228.2, 2.9,MLv,59.01 km al E de Socaire,f
2026-06-02T12:31:14Z,-22.14, -69.20,  76.9, 2.6,MLv,46.53 km al NO de Calama,f
2026-06-02T13:42:12Z,-23.34, -67.81, 154.3, 2.9,MLv,28.65 km al N de Socaire,f
2026-06-02T14:31:24Z,-28.56, -71.37,  54.8, 3.0,MLv,18.34 km al SO de Huasco,f
2026-06-02T14:45:07Z,-21.62, -68.59, 132.2, 2.7,MLv,55.85 km al SO de Ollagüe,f
2026-06-02T16:56:43Z,-21.09, -68.63, 129.1, 2.5,MLv,28.87 km al S de Mina Collahuasi,f
2026-06-02T18:09:08Z,-22.91, -67.89, 181.8, 3.0,MLv,31.98 km al E de San Pedro de Atacama,f
2026-06-02T18:14:37Z,-18.03, -69.36, 151.7, 2.9,MLv,27.9 km al NE de Putre,f
2026-06-02T18:48:14Z,-25.65, -69.88,  66.5, 2.5,MLv,66.49 km al E de Taltal,f
2026-06-02T19:16:56Z,-21.78, -68.88, 108.2, 3.0,MLv,69.25 km al E de Quillagua,f
2026-06-02T19:52:46Z,-32.75, -71.68,  30.6, 2.9,MLv,15.07 km al O de Quintero,f
2026-06-02T20:02:20Z,-32.81, -71.78,  29.1, 2.7,MLv,24.03 km al O de Quintero,f
2026-06-02T20:12:25Z,-31.21, -71.72,  25.1, 2.5,MLv,32.08 km al NO de Canela Baja,f
2026-06-02T20:16:07Z,-22.20, -68.67, 108.6, 3.3,MLv,39.74 km al NE de Calama,f
2026-06-02T22:00:22Z,-33.90, -70.50,  99.5, 3.0,MLv,32.38 km al SO de San José de Maipo,f
2026-06-03T00:23:18Z,-21.30, -68.55, 132.5, 2.9,MLv,31.89 km al O de Ollagüe,f
2026-06-03T00:58:14Z,-30.79, -71.58,  18.6, 2.6,MLv,17.34 km al SE de Parque Fray Jorge,f
2026-06-03T01:40:52Z,-32.76, -71.71,  27.5, 3.3,MLv,17.78 km al O de Quintero,f
2026-06-03T02:12:00Z,-30.67, -71.67,  30.4, 3.0,MLv,1.9 km al SE de Parque Fray Jorge,f
2026-06-03T03:17:00Z,-29.18, -70.01, 115.7, 2.6,MLv,65.87 km al SE de Alto del Carmen,f
2026-06-03T04:32:25Z,-32.59, -70.46,  86.2, 2.8,MLv,30.25 km al NE de Los Andes,f
2026-06-03T04:33:16Z,-32.73, -71.73,  17.6, 2.9,MLv,20.06 km al O de Quintero,f
2026-06-03T05:02:31Z,-21.11, -68.63, 140.2, 2.9,MLv,31.59 km al S de Mina Collahuasi,f
2026-06-03T05:15:54Z,-28.42, -70.70,  56.1, 2.5,MLv,17.79 km al NE de Vallenar,f
2026-06-03T06:47:38Z,-25.90, -70.47,  50.0, 2.6,MLv,52.11 km al N de Chañaral,f
2026-06-03T08:41:13Z,-22.31, -68.70, 104.0, 2.6,MLv,30.05 km al NE de Calama,f
2026-06-03T08:44:18Z,-23.20, -67.06, 237.3, 3.3,MLv,95.77 km al NE de Socaire,f
2026-06-03T09:16:44Z,-33.87, -72.12,  29.2, 3.6,MLv,28.15 km al O de Navidad,f
2026-06-03T09:28:34Z,-32.75, -71.71,  31.4, 3.0,MLv,17.46 km al O de Quintero,f
2026-06-03T10:50:53Z,-32.77, -71.65,  26.2, 3.1,MLv,11.87 km al O de Quintero,f
2026-06-03T12:40:03Z,-32.70, -71.72,  20.0, 3.0,MLv,20.42 km al O de Quintero,f
2026-06-03T14:10:32Z,-21.57, -68.46, 145.6, 4.2,MLv,43.66 km al SO de Ollagüe,f
2026-06-03T16:08:02Z,-24.14, -67.10, 176.7, 3.2,MLv,79.71 km al O de San Antonio de los Cobres,f
2026-06-03T17:22:12Z,-20.91, -68.91, 101.9, 2.8,MLv,28.32 km al O de Mina Collahuasi,f
2026-06-03T17:27:40Z,-32.80, -71.74,  25.8, 2.5,MLv,19.87 km al O de Quintero,f
2026-06-03T19:26:51Z,-30.18, -71.40,  47.0, 2.8,MLv,12.38 km al NE de Tongoy,f
2026-06-03T21:07:09Z,-22.10, -68.67, 125.0, 3.2,MLv,48.75 km al NE de Calama,f
2026-06-03T21:34:35Z,-33.85, -72.13,  19.0, 2.8,MLv,29.72 km al O de Navidad,f
2026-06-03T21:43:10Z,-33.88, -72.11,  19.5, 3.3,MLv,26.63 km al O de Navidad,f
2026-06-03T22:52:31Z,-33.90, -72.07,  21.1, 3.0,MLv,23.16 km al O de Navidad,f
2026-06-03T22:56:40Z,-33.90, -72.12,  27.3, 3.8,MLv,27.4 km al O de Navidad,f
2026-06-03T23:25:07Z,-33.91, -72.07,  18.0, 3.2,MLv,22.11 km al O de Navidad,f
2026-06-04T01:44:57Z,-33.85, -72.08,  30.3, 3.3,MLv,25.67 km al O de Navidad,f
2026-06-04T01:41:33Z,-33.82, -72.06,  27.4, 3.2,MLv,26.4 km al NO de Navidad,f
2026-06-04T04:22:14Z,-33.87, -72.11,  29.0, 3.1,MLv,27.63 km al O de Navidad,f
2026-06-04T04:23:22Z,-20.32, -70.44,  38.9, 2.9,MLv,32.43 km al O de Iquique,f
2026-06-04T05:55:12Z,-30.66, -71.41,  35.7, 2.6,MLv,20.62 km al O de Ovalle,f
2026-06-04T06:07:18Z,-21.40, -71.68,  10.0, 3.4,MLv,167.09 km al O de Patache,f
2026-06-04T08:43:31Z,-21.14, -68.71, 120.3, 3.0,MLv,35.14 km al S de Mina Collahuasi,f
2026-06-04T10:48:33Z,-21.28, -70.05,  37.4, 2.8,MLv,55.12 km al S de Patache,f
2026-06-04T11:07:06Z,-21.09, -68.75, 113.8, 2.6,MLv,31.19 km al S de Mina Collahuasi,f
2026-06-04T11:13:52Z,-21.11, -68.56, 131.6, 3.0,MLv,33.37 km al S de Mina Collahuasi,f
2026-06-04T11:58:49Z,-32.78, -71.67,  30.8, 3.3,MLv,13.3 km al O de Quintero,f
2026-06-04T12:59:44Z,-21.20, -68.04, 173.4, 3.1,MLv,22.21 km al E de Ollagüe,f
2026-06-04T13:18:26Z,-22.69, -66.83, 268.7, 3.0,MLv,143.03 km al E de San Pedro de Atacama,f
2026-06-04T21:02:08Z,-30.19, -71.84,  50.6, 3.0,MLv,34.47 km al O de Tongoy,f
2026-06-05T02:03:47Z,-18.32, -69.33, 127.8, 3.1,MLv,28.02 km al SE de Putre,f
2026-06-05T03:42:36Z,-23.86, -67.17, 223.6, 3.1,MLv,79.08 km al E de Socaire,f
2026-06-05T04:28:20Z,-22.36, -68.71, 107.6, 2.5,MLv,25.3 km al NE de Calama,f
2026-06-05T04:44:09Z,-32.76, -71.68,  29.8, 2.5,MLv,14.63 km al O de Quintero,f
2026-06-05T05:38:24Z,-22.36, -68.67, 107.6, 3.7,MLv,29.26 km al NE de Calama,f
2026-06-05T13:39:51Z,-32.29, -71.09,  69.3, 3.5,MLv,15.31 km al O de Petorca,f
2026-06-05T15:03:20Z,-24.24, -67.84, 140.5, 3.0,MLv,73.06 km al S de Socaire,f
2026-06-05T17:26:55Z,-21.54, -68.35, 135.7, 3.0,MLv,36.83 km al S de Ollagüe,f
2026-06-05T17:51:04Z,-19.23, -70.18,  50.5, 3.0,MLv,8.16 km al S de Cuya,f
2026-06-05T18:35:38Z,-22.25, -68.69, 103.9, 3.1,MLv,34.58 km al NE de Calama,f
2026-06-05T18:46:59Z,-22.93, -69.82,  12.8, 2.6,MLv,45.19 km al N de Baquedano,f
2026-06-05T20:36:19Z,-21.41, -71.46,  17.9, 2.7,MLv,146.55 km al SO de Patache,f
2026-06-05T21:44:52Z,-21.84, -68.61, 127.4, 2.5,MLv,77.32 km al NE de Calama,f
2026-06-06T01:33:36Z,-22.29, -68.71, 112.7, 2.7,MLv,30.06 km al NE de Calama,f
2026-06-06T03:12:50Z,-28.80, -71.39,  22.1, 2.7,MLv,40.76 km al SO de Huasco,f
2026-06-06T03:56:10Z,-32.87, -71.88,  21.7, 2.5,MLv,31.16 km al NO de Valparaíso,f
2026-06-06T05:33:16Z,-28.52, -72.77,  42.5, 3.1,MLv,150.62 km al NO de Punta de Choros,f
2026-06-06T06:04:01Z,-21.22, -68.67, 111.2, 2.9,MLv,43.17 km al O de Ollagüe,f
2026-06-06T06:52:29Z,-33.99, -71.94,  28.0, 2.8,MLv,11.0 km al O de Navidad,f
2026-06-06T08:22:20Z,-17.76, -69.63, 140.0, 2.7,MLv,24.38 km al SO de Visviri,f
2026-06-06T08:28:06Z,-21.23, -68.70, 118.9, 2.5,MLv,44.7 km al S de Mina Collahuasi,f
