time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-01T00:02:59Z,-22.28, -68.61,  96.9, 2.6,MLv,38.69 km al NE de Calama,f
2026-06-01T01:44:29Z,-32.81, -71.79,  26.6, 3.1,MLv,25.39 km al O de Quintero,f
2026-06-01T02:25:06Z,-24.07, -67.21, 256.1, 3.2,MLv,87.31 km al SE de Socaire,f
2026-06-01T04:03:59Z,-32.72, -71.78,  26.1, 3.0,MLv,24.66 km al O de Quintero,f
2026-06-01T05:25:05Z,-23.48, -69.07,  90.1, 3.7,MLv,70.49 km al SE de Sierra Gorda,f
2026-06-01T00:15:08Z,-32.76, -71.70,  27.5, 3.0,MLv,16.49 km al O de Quintero,f
2026-06-01T06:14:13Z,-20.64, -69.33,  91.2, 3.2,MLv,16.71 km al S de Pica,f
2026-06-01T08:21:18Z,-28.20, -71.38,  14.4, 2.6,MLv,26.13 km al SO de Carrizal Bajo,f
2026-06-01T08:32:21Z,-32.66, -71.91,  29.3, 2.9,MLv,38.4 km al O de Quintero,f
2026-06-01T00:47:38Z,-32.82, -71.77,  28.8, 2.8,MLv,23.4 km al O de Quintero,f
2026-06-01T08:53:09Z,-20.83, -70.12,  26.9, 3.0,MLv,8.81 km al E de Patache,f
2026-06-01T09:10:54Z,-21.48, -70.24,  35.9, 2.5,MLv,68.28 km al N de Tocopilla,f
2026-06-01T00:53:09Z,-32.80, -71.75,  30.0, 2.5,MLv,21.11 km al O de Quintero,f
2026-06-01T09:50:44Z,-27.94, -70.95,  44.8, 2.8,MLv,25.14 km al NE de Carrizal Bajo,f
2026-06-01T01:03:05Z,-32.77, -71.83,  22.2, 2.5,MLv,28.48 km al O de Quintero,f
2026-06-01T10:13:38Z,-21.38, -69.86,  95.4, 2.9,MLv,45.77 km al NO de Quillagua,f
2026-06-01T01:28:51Z,-23.93, -66.90, 200.5, 3.0,MLv,67.7 km al NO de San Antonio de los Cobres,f
2026-06-01T11:12:05Z,-32.76, -71.86,  25.7, 3.9,MLv,30.9 km al O de Quintero,f
2026-06-01T02:27:51Z,-27.30, -71.17,  20.8, 2.5,MLv,43.19 km al SO de Caldera,f
2026-06-01T14:39:24Z,-32.76, -71.81,  22.2, 2.7,MLv,27.04 km al O de Quintero,f
2026-06-01T16:05:03Z,-22.11, -68.79, 122.4, 2.7,MLv,42.31 km al N de Calama,f
2026-06-01T02:59:31Z,-31.62, -71.98,  21.3, 2.9,MLv,54.43 km al NO de Los Vilos,f
2026-06-01T18:17:29Z,-23.04, -67.02, 235.8, 3.1,MLv,108.34 km al NE de Socaire,f
2026-06-01T03:01:05Z,-31.59, -71.90,  32.5, 2.5,MLv,46.95 km al SO de Canela Baja,f
2026-06-01T18:38:24Z,-19.28, -69.31, 107.0, 3.4,MLv,13.1 km al E de Camiña,f
2026-06-01T03:46:54Z,-32.78, -71.83,  24.8, 2.5,MLv,28.69 km al O de Quintero,f
2026-06-01T19:02:19Z,-32.80, -71.76,  27.3, 3.0,MLv,22.08 km al O de Quintero,f
2026-06-01T05:15:03Z,-30.73, -71.69,  28.3, 2.8,MLv,7.0 km al S de Parque Fray Jorge,f
2026-06-01T19:51:13Z,-18.90, -69.62,  88.6, 3.2,MLv,50.72 km al NO de Camiña,f
2026-06-01T05:53:18Z,-32.06, -70.15, 124.9, 2.8,MLv,48.99 km al SE de Mina Los Pelambres,f
2026-06-01T21:01:26Z,-28.75, -71.42,  26.1, 2.6,MLv,37.38 km al SO de Huasco,f
2026-06-01T22:33:21Z,-32.72, -71.83,  26.1, 3.0,MLv,28.94 km al O de Quintero,f
2026-06-01T07:07:18Z,-32.74, -71.73,  29.0, 3.0,MLv,19.38 km al O de Quintero,f
2026-06-01T23:16:00Z,-20.73, -68.90, 100.2, 2.5,MLv,27.31 km al O de Mina Collahuasi,f
2026-06-02T02:06:37Z,-32.78, -71.76,  21.2, 2.9,MLv,22.39 km al O de Quintero,f
2026-06-01T07:22:35Z,-32.78, -71.80,  24.2, 2.5,MLv,25.58 km al O de Quintero,f
2026-06-02T02:20:46Z,-22.85, -67.41, 267.9, 3.1,MLv,81.63 km al E de San Pedro de Atacama,f
2026-06-02T03:22:58Z,-22.12, -68.70, 120.2, 2.5,MLv,45.24 km al NE de Calama,f
2026-06-01T07:35:24Z,-30.81, -69.77, 106.4, 2.6,MLv,112.44 km al SE de Paihuano,f
2026-06-02T03:36:23Z,-19.36, -70.92,  43.3, 3.1,MLv,78.3 km al O de Pisagua,f
2026-06-01T10:03:46Z,-21.45, -68.49, 126.0, 2.5,MLv,35.13 km al SO de Ollagüe,f
2026-06-02T04:40:06Z,-23.83, -67.20, 230.4, 3.0,MLv,75.51 km al E de Socaire,f
2026-06-01T10:57:34Z,-21.75, -68.61, 102.9, 2.9,MLv,69.42 km al SO de Ollagüe,f
2026-06-02T05:46:36Z,-32.72, -71.71,  30.2, 2.7,MLv,18.3 km al O de Quintero,f
2026-06-01T11:01:21Z,-22.77, -70.28,  52.6, 2.6,MLv,40.92 km al NE de Mejillones,f
2026-06-02T06:13:41Z,-29.41, -70.83,  65.8, 4.5,Mw,37.38 km al E de La Higuera,t
2026-06-01T11:45:14Z,-32.74, -71.88,  25.2, 3.2,MLv,33.63 km al O de Quintero,f
